13198 libc.so.6->__rawmemchr(0x7bbdb7ed02e0, 0, 0x7ffc14eb4b40, 0x5ee8d0ff0038) = 0
13198 libc.so.6->strspn("", "C")                              = 4294967229
13198 libc.so.6->strcmp("LOCPATH", "C")                       = 7
13198 libc.so.6->strcat("GNAME=dinko", "CPATH")               = "\004\005\006\a\b\t\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#"...
13198 libc.so.6->strcpy(0x5ee8d0fe70d2, ";<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ"...) = 0
13198 libc.so.6->strcmp("LC_ALL", nil)                        = 6
13198 libc.so.6->strcmp("LC_IDENTIFICATION", nil)             = 17
13198 libc.so.6->strcmp("LANG", nil)                          = 4
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NG")               = nil
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("en_US.UTF-8", "POSIX")               = 11
13198 libc.so.6->_dl_allocate_tls(0x7ffc14eb6266, 47, 11, 4)  = 0
13198 libc.so.6->strcpy(0x7ffc14eb6266, "./0123456789:;<=>?@ABCDEFGHIJKLM"...) = 0x7ffc14eb626b
13198 libc.so.6->memcpy(0x7ffc14eb626c, "", 0)                = 0x7ffc14eb6271
13198 libc.so.6->stpcpy(0xe, "`1\351\267\275{")               = 0x620
13198 libc.so.6->stpcpy(0x3, "")                              = 0x150
13198 libc.so.6->stpcpy(0x1b, "")                             = 0xbd0
13198 libc.so.6->stpcpy(0x2, "")                              = 0xe0
13198 libc.so.6->stpcpy(0x14, "")                             = 0x8c0
13198 libc.so.6->stpcpy(0x1a, "")                             = 0xb60
13198 libc.so.6->stpcpy(0x1e, "")                             = 0xd20
13198 libc.so.6->stpcpy(0x21, "")                             = 0xe70
13198 libc.so.6->stpcpy(0x1d, "")                             = 0xcb0
13198 libc.so.6->stpcpy(0x16, "")                             = 0x9a0
13198 libc.so.6->stpcpy(0xb, "")                              = 0x4d0
13198 libc.so.6->stpcpy(0x9, "")                              = 0x3f0
13198 libc.so.6->strcat("utf8", "UTF-8")                      = " !"#$%&'()*+,-./0123456789:;<=>?"...
13198 libc.so.6->strcmp("utf8", "UTF-8")                      = 4
13198 libc.so.6->strcmp("", "UTF-8")                          = 0
13198 libc.so.6->__tls_get_addr(0x7ffc14eb4400, 0x7ffc14eb6266, 6, 6) = 0x7ffc14eb4406
13198 libc.so.6->__tls_get_addr(0x7ffc14eb4406, 0x5ee8d30002a0, 4, 0x2e53555f) = 0x7ffc14eb440a
13198 libc.so.6->strlen("\353\024\374\177")                   = 140720659448842
13198 libc.so.6->strcmp("en_US.utf8", "PQRSTUVWXYZ[\\]^_`abcdefghijklmno"...) = 10
13198 libc.so.6->strspn("en_US.utf8", "en_US.utf8")           = 0
13198 libc.so.6->strcmp("en_US.UTF-8", "")                    = 11
13198 libc.so.6->strlen("")                                   = 104354065416864
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strcmp("en_US.UTF-8", "C")                   = 11
13198 libc.so.6->strlen("")                                   = 104354065420880
13198 libc.so.6->strcmp("LC_ALL", nil)                        = 6
13198 libc.so.6->strcmp("LC_MEASUREMENT", nil)                = 14
13198 libc.so.6->strcmp("LANG", nil)                          = 4
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NG")               = nil
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("en_US.UTF-8", "POSIX")               = 11
13198 libc.so.6->_dl_allocate_tls(0x7ffc14eb6266, 47, 11, 4)  = 0
13198 libc.so.6->strspn("en_US.UTF-8", "en_US.UTF-8")         = 0
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strcmp("en_US.UTF-8", "C")                   = 11
13198 libc.so.6->strlen("")                                   = 104354065420912
13198 libc.so.6->strcmp("LC_ALL", nil)                        = 6
13198 libc.so.6->strcmp("LC_TELEPHONE", nil)                  = 12
13198 libc.so.6->strcmp("LANG", nil)                          = 4
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NG")               = nil
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("en_US.UTF-8", "POSIX")               = 11
13198 libc.so.6->_dl_allocate_tls(0x7ffc14eb6266, 47, 11, 4)  = 0
13198 libc.so.6->strspn("en_US.UTF-8", "en_US.UTF-8")         = 0
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strcmp("en_US.UTF-8", "C")                   = 11
13198 libc.so.6->strlen("")                                   = 104354065420944
13198 libc.so.6->strcmp("LC_ALL", nil)                        = 6
13198 libc.so.6->strcmp("LC_ADDRESS", nil)                    = 10
13198 libc.so.6->strcmp("LANG", nil)                          = 4
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NG")               = nil
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("en_US.UTF-8", "POSIX")               = 11
13198 libc.so.6->_dl_allocate_tls(0x7ffc14eb6266, 47, 11, 4)  = 0
13198 libc.so.6->strspn("en_US.UTF-8", "en_US.UTF-8")         = 0
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strcmp("en_US.UTF-8", "C")                   = 11
13198 libc.so.6->strlen("")                                   = 104354065420976
13198 libc.so.6->strcmp("LC_ALL", nil)                        = 6
13198 libc.so.6->strcmp("LC_NAME", nil)                       = 7
13198 libc.so.6->strcmp("LANG", nil)                          = 4
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NG")               = nil
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("en_US.UTF-8", "POSIX")               = 11
13198 libc.so.6->_dl_allocate_tls(0x7ffc14eb6266, 47, 11, 4)  = 0
13198 libc.so.6->strspn("en_US.UTF-8", "en_US.UTF-8")         = 0
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strcmp("en_US.UTF-8", "C")                   = 11
13198 libc.so.6->strlen("")                                   = 104354065421008
13198 libc.so.6->strcmp("LC_ALL", nil)                        = 6
13198 libc.so.6->strcmp("LC_PAPER", nil)                      = 8
13198 libc.so.6->strcmp("LANG", nil)                          = 4
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NG")               = nil
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("en_US.UTF-8", "POSIX")               = 11
13198 libc.so.6->_dl_allocate_tls(0x7ffc14eb6266, 47, 11, 4)  = 0
13198 libc.so.6->strspn("en_US.UTF-8", "en_US.UTF-8")         = 0
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strcmp("en_US.UTF-8", "C")                   = 11
13198 libc.so.6->strlen("")                                   = 104354065421040
13198 libc.so.6->strcmp("LC_ALL", nil)                        = 6
13198 libc.so.6->strcmp("LC_MESSAGES", nil)                   = 11
13198 libc.so.6->strcmp("LANG", nil)                          = 4
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NG")               = nil
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("en_US.UTF-8", "POSIX")               = 11
13198 libc.so.6->_dl_allocate_tls(0x7ffc14eb6266, 47, 11, 4)  = 0
13198 libc.so.6->strspn("en_US.UTF-8", "en_US.UTF-8")         = 0
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strcmp("en_US.UTF-8", "C")                   = 11
13198 libc.so.6->strlen("")                                   = 104354065421072
13198 libc.so.6->strcmp("LC_ALL", nil)                        = 6
13198 libc.so.6->strcmp("LC_MONETARY", nil)                   = 11
13198 libc.so.6->strcmp("LANG", nil)                          = 4
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NG")               = nil
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("en_US.UTF-8", "POSIX")               = 11
13198 libc.so.6->_dl_allocate_tls(0x7ffc14eb6266, 47, 11, 4)  = 0
13198 libc.so.6->strspn("en_US.UTF-8", "en_US.UTF-8")         = 0
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strcmp("en_US.UTF-8", "C")                   = 11
13198 libc.so.6->strlen("")                                   = 104354065421104
13198 libc.so.6->strcmp("LC_ALL", nil)                        = 6
13198 libc.so.6->strcmp("LC_COLLATE", nil)                    = 10
13198 libc.so.6->strcmp("LANG", nil)                          = 4
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NG")               = nil
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("en_US.UTF-8", "POSIX")               = 11
13198 libc.so.6->_dl_allocate_tls(0x7ffc14eb6266, 47, 11, 4)  = 0
13198 libc.so.6->strspn("en_US.UTF-8", "en_US.UTF-8")         = 0
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strcmp("en_US.UTF-8", "C")                   = 11
13198 libc.so.6->strlen("")                                   = 104354065421136
13198 libc.so.6->strcmp("LC_ALL", nil)                        = 6
13198 libc.so.6->strcmp("LC_TIME", nil)                       = 7
13198 libc.so.6->strcmp("LANG", nil)                          = 4
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NG")               = nil
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("en_US.UTF-8", "POSIX")               = 11
13198 libc.so.6->_dl_allocate_tls(0x7ffc14eb6266, 47, 11, 4)  = 0
13198 libc.so.6->strspn("en_US.UTF-8", "en_US.UTF-8")         = 0
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strcmp("en_US.UTF-8", "C")                   = 11
13198 libc.so.6->strlen("")                                   = 104354065421168
13198 libc.so.6->strcmp("LC_ALL", nil)                        = 6
13198 libc.so.6->strcmp("LC_NUMERIC", nil)                    = 10
13198 libc.so.6->strcmp("LANG", nil)                          = 4
13198 libc.so.6->strcat("NG=en_US.UTF-8", "NG")               = nil
13198 libc.so.6->strspn("en_US.UTF-8", "C")                   = 34
13198 libc.so.6->strspn("en_US.UTF-8", "POSIX")               = 21
13198 libc.so.6->strcmp("en_US.UTF-8", "POSIX")               = 11
