Log: 2024/11/21 13:46:14 [debug] 687715#0: *1 event timer add: 8: 60000:1215706384
Address	Function	Instruction
0x2B8DB	ngx_clean_old_cycles	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x2CEAF	ngx_init_cycle	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x2DA88	ngx_set_shutdown_timer	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x30C10	ngx_resolver_set_timeout	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x30E14	ngx_resolver_tcp_write	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x316D0	ngx_resolver_send_tcp_query	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x31BBF	ngx_resolver_resend_handler	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x336D6	ngx_resolve_name_locked	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x3460C	ngx_resolve_addr	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x3C7A0	ngx_event_accept	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x3F29F	ngx_event_pipe	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x3F774	ngx_event_pipe	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x3FCFE	ngx_event_pipe	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x3FEE1	ngx_event_pipe	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x453D1	ngx_cache_manager_process_cycle	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x458A7	ngx_cache_manager_process_handler	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x4CC0E	ngx_http_core_auth_delay	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x5326C	ngx_http_set_write_handler	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x5353A	ngx_http_lingering_close_handler	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x539F7	ngx_http_init_connection	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x53BE6	ngx_http_finalize_connection	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x543A7	ngx_http_finalize_connection	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x54634	ngx_http_finalize_connection	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x54F2A	ngx_http_read_request_header	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x56048	ngx_http_writer	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x56273	ngx_http_writer	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x56709	ngx_http_wait_request_handler	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x5B5F1	ngx_http_log_handler	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x5C961	ngx_http_do_read_client_request_body	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x5CC6C	ngx_http_do_read_client_request_body	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x5D41D	ngx_http_discarded_request_body_handler	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x66345	ngx_http_upstream_process_non_buffered_request	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x664EB	ngx_http_upstream_process_non_buffered_request	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x66C0A	ngx_http_upstream_process_upgraded	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x66DB6	ngx_http_upstream_process_upgraded	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x66F68	ngx_http_upstream_process_upgraded	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x68877	ngx_http_upstream_send_request	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x68B4B	ngx_http_upstream_send_request	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x6942C	ngx_http_upstream_connect	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x6E5BE	ngx_http_file_cache_lock_wait_handler	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x6EF5D	ngx_http_file_cache_open	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x71A78	ngx_http_write_filter	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x71D57	ngx_http_write_filter	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x835C2	ngx_http_limit_req_handler	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"
0x9CA39	ngx_http_upstream_free_keepalive_peer	                lea     rcx, aEventTimerAddD ; "event timer add: %d: %M:%M"

