Syscall: getrandom, Callsite: 0x7ffff7c46c85
Syscall: brk, Callsite: 0x7ffff7d1a829
Syscall: brk, Callsite: 0x7ffff7d1a829
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: newfstatat, Callsite: 0x7ffff7d13d3c
Syscall: mmap, Callsite: 0x7ffff7d1ea25
Syscall: close, Callsite: 0x7ffff7d19869
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: newfstatat, Callsite: 0x7ffff7d13d3c
Syscall: mmap, Callsite: 0x7ffff7d1ea25
Syscall: close, Callsite: 0x7ffff7d19869
Syscall: futex, Callsite: 0x7ffff7c99f0e
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: newfstatat, Callsite: 0x7ffff7d13d3c
Syscall: read, Callsite: 0x7ffff7d19b26
Syscall: read, Callsite: 0x7ffff7d19b26
Syscall: close, Callsite: 0x7ffff7d19869
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d19a1a
Syscall: openat, Callsite: 0x7ffff7d14539
Syscall: mmap, Callsite: 0x7ffff7d1ea25
Syscall: lseek, Callsite: 0x7ffff7d14919
Syscall: read, Callsite: 0x7ffff7d147e0
Syscall: read, Callsite: 0x7ffff7d147e0
Syscall: close, Callsite: 0x7ffff7d14f65
Syscall: munmap, Callsite: 0x7ffff7d1ea79
Syscall: sigaltstack, Callsite: 0x7ffff7c42d49
Syscall: rt_sigaction, Callsite: 0x7ffff7c425f1
Syscall: rt_sigaction, Callsite: 0x7ffff7c425f1
Syscall: newfstatat, Callsite: 0x7ffff7d13d3c
Syscall: newfstatat, Callsite: 0x7ffff7d13d3c
Syscall: brk, Callsite: 0x7ffff7d1a829
Syscall: openat, Callsite: 0x7ffff7d146b4
Syscall: newfstatat, Callsite: 0x7ffff7d13d3c
Syscall: read, Callsite: 0x7ffff7d147e0
Syscall: brk, Callsite: 0x7ffff7d1a829
Syscall: newfstatat, Callsite: 0x7ffff7d13d3c
Syscall: write, Callsite: 0x7ffff7d14885
Syscall: write, Callsite: 0x7ffff7d14885
Syscall: write, Callsite: 0x7ffff7d14885
Syscall: write, Callsite: 0x7ffff7d14885
Syscall: read, Callsite: 0x7ffff7d147e0
Syscall: close, Callsite: 0x7ffff7d14f65
Syscall: close, Callsite: 0x7ffff7d19869
Syscall: close, Callsite: 0x7ffff7d19869
Syscall: exit_group, Callsite: 0x7ffff7ceac2f
╔══════════════════════════════════╗
║ ===== 56 syscall callsites ===== ║
╚══════════════════════════════════╝
CFGFast: DiGraph with 8064 nodes and 14529 edges, 9.73s
CFGEmulated: DiGraph with 8064 nodes and 14529 edges, 9.74
╔════════════════════════╗
║ MAIN address: 0x40a70e ║
╚════════════════════════╝
